"Posição 'x' e 'y' - Pata 2"

"Time      "	"X"	"Y"
6.840000e-01	3.173004e+02	3.277558e+01
6.960000e-01	3.172381e+02	3.345758e+01
7.080000e-01	3.171733e+02	3.414490e+01
7.200000e-01	3.171061e+02	3.483731e+01
7.320000e-01	3.170363e+02	3.553460e+01
7.440000e-01	3.169640e+02	3.623653e+01
7.560000e-01	3.168892e+02	3.694287e+01
7.680000e-01	3.168118e+02	3.765340e+01
7.800000e-01	3.167318e+02	3.836788e+01
7.920000e-01	3.166492e+02	3.908610e+01
8.040000e-01	3.165640e+02	3.980782e+01
8.160000e-01	3.164762e+02	4.053282e+01
8.280000e-01	3.163858e+02	4.126088e+01
8.400000e-01	3.162927e+02	4.199175e+01
8.520000e-01	3.161971e+02	4.272522e+01
8.640000e-01	3.160989e+02	4.346106e+01
8.760000e-01	3.159980e+02	4.419905e+01
8.880000e-01	3.158946e+02	4.493895e+01
9.000000e-01	3.157885e+02	4.568055e+01
9.120000e-01	3.156799e+02	4.642361e+01
9.240000e-01	3.155688e+02	4.716791e+01
9.360000e-01	3.154551e+02	4.791323e+01
9.480000e-01	3.153389e+02	4.865933e+01
9.600000e-01	3.152202e+02	4.940601e+01
9.720000e-01	3.150991e+02	5.015302e+01
9.840000e-01	3.149756e+02	5.090016e+01
9.960000e-01	3.148496e+02	5.164719e+01
1.008000e+00	3.147213e+02	5.239389e+01
1.020000e+00	3.145907e+02	5.314004e+01
1.032000e+00	3.144577e+02	5.388542e+01
1.044000e+00	3.143226e+02	5.462980e+01
1.056000e+00	3.141853e+02	5.537298e+01
1.068000e+00	3.140458e+02	5.611471e+01
1.080000e+00	3.139042e+02	5.685480e+01
1.092000e+00	3.137606e+02	5.759301e+01
1.104000e+00	3.136151e+02	5.832913e+01
1.116000e+00	3.134676e+02	5.906293e+01
1.128000e+00	3.133183e+02	5.979421e+01
1.140000e+00	3.131671e+02	6.052275e+01
1.152000e+00	3.130143e+02	6.124833e+01
1.164000e+00	3.128598e+02	6.197073e+01
1.176000e+00	3.127038e+02	6.268974e+01
1.188000e+00	3.125462e+02	6.340515e+01
1.200000e+00	3.123872e+02	6.411674e+01
1.212000e+00	3.122269e+02	6.482430e+01
1.224000e+00	3.120653e+02	6.552762e+01
1.236000e+00	3.119026e+02	6.622649e+01
1.248000e+00	3.117387e+02	6.692069e+01
1.260000e+00	3.115739e+02	6.761003e+01
1.272000e+00	3.114081e+02	6.829428e+01
1.284000e+00	3.112416e+02	6.897324e+01
1.296000e+00	3.110743e+02	6.964671e+01
1.308000e+00	3.109064e+02	7.031448e+01
1.320000e+00	3.107380e+02	7.097634e+01
1.332000e+00	3.105692e+02	7.163208e+01
1.344000e+00	3.104001e+02	7.228151e+01
1.356000e+00	3.102307e+02	7.292442e+01
1.368000e+00	3.100613e+02	7.356061e+01
1.380000e+00	3.098919e+02	7.418987e+01
1.392000e+00	3.097226e+02	7.481201e+01
1.404000e+00	3.095535e+02	7.542682e+01
1.416000e+00	3.093848e+02	7.603411e+01
1.428000e+00	3.092166e+02	7.663367e+01
1.440000e+00	3.090489e+02	7.722532e+01
1.452000e+00	3.088820e+02	7.780884e+01
1.464000e+00	3.087158e+02	7.838405e+01
1.476000e+00	3.085506e+02	7.895075e+01
1.488000e+00	3.083865e+02	7.950874e+01
1.500000e+00	3.082236e+02	8.005783e+01
1.512000e+00	3.080620e+02	8.059782e+01
1.524000e+00	3.079018e+02	8.112852e+01
1.536000e+00	3.077432e+02	8.164975e+01
1.548000e+00	3.075862e+02	8.216129e+01
1.560000e+00	3.074311e+02	8.266298e+01
1.572000e+00	3.072780e+02	8.315460e+01
1.584000e+00	3.071269e+02	8.363598e+01
1.596000e+00	3.069780e+02	8.410691e+01
1.608000e+00	3.068315e+02	8.456722e+01
1.620000e+00	3.066874e+02	8.501671e+01
1.632000e+00	3.065459e+02	8.545519e+01
1.644000e+00	3.064071e+02	8.588247e+01
1.656000e+00	3.062712e+02	8.629836e+01
1.668000e+00	3.061383e+02	8.670268e+01
1.680000e+00	3.060085e+02	8.709523e+01
1.692000e+00	3.058819e+02	8.747584e+01
1.704000e+00	3.057587e+02	8.784430e+01
1.716000e+00	3.056390e+02	8.820043e+01
1.728000e+00	3.055229e+02	8.854404e+01
1.740000e+00	3.054105e+02	8.887494e+01
