"Posição 'x' e 'y' - Pata 1"

"Time      "	".MARKER_39.Translational_Displacement.X"	".MARKER_39.Translational_Displacement.Y"
0.000000e+00	8.215650e-15	1.000000e+01
1.200000e-02	2.243582e-07	1.001195e+01
2.400000e-02	3.560957e-06	1.004761e+01
3.600000e-02	1.788215e-05	1.010669e+01
4.800000e-02	5.605995e-05	1.018890e+01
6.000000e-02	1.357548e-04	1.029396e+01
7.200000e-02	2.792080e-04	1.042157e+01
8.400000e-02	5.130361e-04	1.057146e+01
9.600000e-02	8.680282e-04	1.074332e+01
1.080000e-01	1.378946e-03	1.093688e+01
1.200000e-01	2.084325e-03	1.115184e+01
1.320000e-01	3.026281e-03	1.138792e+01
1.440000e-01	4.250317e-03	1.164483e+01
1.560000e-01	5.805133e-03	1.192227e+01
1.680000e-01	7.742439e-03	1.221997e+01
1.800000e-01	1.011677e-02	1.253763e+01
1.920000e-01	1.298530e-02	1.287496e+01
2.040000e-01	1.640768e-02	1.323168e+01
2.160000e-01	2.044583e-02	1.360750e+01
2.280000e-01	2.516379e-02	1.400212e+01
2.400000e-01	3.062754e-02	1.441526e+01
2.520000e-01	3.690483e-02	1.484663e+01
2.640000e-01	4.406500e-02	1.529593e+01
2.760000e-01	5.217886e-02	1.576289e+01
2.880000e-01	6.131847e-02	1.624720e+01
3.000000e-01	7.155702e-02	1.674858e+01
3.120000e-01	8.296864e-02	1.726673e+01
3.240000e-01	9.562831e-02	1.780138e+01
3.360000e-01	1.096116e-01	1.835221e+01
3.480000e-01	1.249947e-01	1.891895e+01
3.600000e-01	1.418540e-01	1.950130e+01
3.720000e-01	1.602662e-01	2.009897e+01
3.840000e-01	1.803081e-01	2.071166e+01
3.960000e-01	2.020564e-01	2.133908e+01
4.080000e-01	2.255876e-01	2.198095e+01
4.200000e-01	2.509779e-01	2.263696e+01
4.320000e-01	2.783029e-01	2.330683e+01
4.440000e-01	3.076377e-01	2.399025e+01
4.560000e-01	3.390568e-01	2.468693e+01
4.680000e-01	3.726336e-01	2.539659e+01
4.800000e-01	4.084408e-01	2.611891e+01
4.920000e-01	4.465497e-01	2.685362e+01
5.040000e-01	4.870308e-01	2.760040e+01
5.160000e-01	5.299530e-01	2.835897e+01
5.280000e-01	5.753839e-01	2.912903e+01
5.400000e-01	6.233893e-01	2.991029e+01
5.520000e-01	6.740339e-01	3.070243e+01
5.640000e-01	7.273801e-01	3.150518e+01
5.760000e-01	7.834889e-01	3.231822e+01
5.880000e-01	8.424190e-01	3.314127e+01
6.000000e-01	9.042274e-01	3.397401e+01
6.120000e-01	9.689688e-01	3.481617e+01
6.240000e-01	1.036696e+00	3.566742e+01
6.360000e-01	1.107458e+00	3.652749e+01
6.480000e-01	1.181304e+00	3.739606e+01
6.600000e-01	1.258279e+00	3.827284e+01
6.720000e-01	1.338426e+00	3.915753e+01
6.840000e-01	1.421785e+00	4.004983e+01
6.960000e-01	1.508393e+00	4.094943e+01
7.080000e-01	1.598286e+00	4.185605e+01
7.200000e-01	1.691494e+00	4.276937e+01
7.320000e-01	1.788049e+00	4.368910e+01
7.440000e-01	1.887974e+00	4.461494e+01
7.560000e-01	1.991294e+00	4.554659e+01
7.680000e-01	2.098029e+00	4.648375e+01
7.800000e-01	2.208195e+00	4.742611e+01
7.920000e-01	2.321807e+00	4.837339e+01
8.040000e-01	2.438874e+00	4.932527e+01
8.160000e-01	2.559404e+00	5.028146e+01
8.280000e-01	2.683402e+00	5.124166e+01
8.400000e-01	2.810867e+00	5.220557e+01
8.520000e-01	2.941797e+00	5.317288e+01
8.640000e-01	3.076186e+00	5.414331e+01
8.760000e-01	3.214024e+00	5.511656e+01
8.880000e-01	3.355298e+00	5.609231e+01
9.000000e-01	3.499991e+00	5.707028e+01
9.120000e-01	3.648084e+00	5.805017e+01
9.240000e-01	3.799553e+00	5.903168e+01
9.360000e-01	3.954370e+00	6.001452e+01
9.480000e-01	4.112506e+00	6.099838e+01
9.600000e-01	4.273924e+00	6.198297e+01
9.720000e-01	4.438588e+00	6.296800e+01
9.840000e-01	4.606457e+00	6.395316e+01
9.960000e-01	4.777484e+00	6.493818e+01
1.008000e+00	4.951621e+00	6.592275e+01
1.020000e+00	5.128816e+00	6.690657e+01
1.032000e+00	5.309013e+00	6.788937e+01
1.044000e+00	5.492153e+00	6.887083e+01
1.056000e+00	5.678172e+00	6.985068e+01
1.068000e+00	5.867004e+00	7.082863e+01
1.080000e+00	6.058578e+00	7.180438e+01
1.092000e+00	6.252822e+00	7.277764e+01
1.104000e+00	6.449657e+00	7.374813e+01
1.116000e+00	6.649003e+00	7.471556e+01
1.128000e+00	6.850777e+00	7.567964e+01
1.140000e+00	7.054889e+00	7.664009e+01
1.152000e+00	7.261251e+00	7.759662e+01
1.164000e+00	7.469767e+00	7.854895e+01
1.176000e+00	7.680339e+00	7.949680e+01
1.188000e+00	7.892868e+00	8.043988e+01
1.200000e+00	8.107248e+00	8.137791e+01
1.212000e+00	8.323373e+00	8.231062e+01
1.224000e+00	8.541132e+00	8.323773e+01
1.236000e+00	8.760412e+00	8.415895e+01
1.248000e+00	8.981095e+00	8.507401e+01
1.260000e+00	9.203063e+00	8.598264e+01
1.272000e+00	9.426194e+00	8.688455e+01
1.284000e+00	9.650361e+00	8.777948e+01
