"Posição 'x' e 'y' - Pata 2"

"Time      "	".MARKER_44.Translational_Displacement.X"	".MARKER_44.Translational_Displacement.Y"
0.000000e+00	3.182667e+02	1.000000e+01
1.200000e-02	3.182667e+02	1.000906e+01
2.400000e-02	3.182669e+02	1.003608e+01
3.600000e-02	3.182671e+02	1.008084e+01
4.800000e-02	3.182674e+02	1.014314e+01
6.000000e-02	3.182677e+02	1.022275e+01
7.200000e-02	3.182680e+02	1.031945e+01
8.400000e-02	3.182684e+02	1.043303e+01
9.600000e-02	3.182688e+02	1.056326e+01
1.080000e-01	3.182691e+02	1.070993e+01
1.200000e-01	3.182694e+02	1.087282e+01
1.320000e-01	3.182695e+02	1.105171e+01
1.440000e-01	3.182696e+02	1.124639e+01
1.560000e-01	3.182694e+02	1.145663e+01
1.680000e-01	3.182690e+02	1.168221e+01
1.800000e-01	3.182684e+02	1.192293e+01
1.920000e-01	3.182675e+02	1.217856e+01
2.040000e-01	3.182662e+02	1.244887e+01
2.160000e-01	3.182645e+02	1.273366e+01
2.280000e-01	3.182624e+02	1.303271e+01
2.400000e-01	3.182598e+02	1.334579e+01
2.520000e-01	3.182566e+02	1.367268e+01
2.640000e-01	3.182529e+02	1.401317e+01
2.760000e-01	3.182485e+02	1.436703e+01
2.880000e-01	3.182433e+02	1.473406e+01
3.000000e-01	3.182374e+02	1.511401e+01
3.120000e-01	3.182307e+02	1.550669e+01
3.240000e-01	3.182231e+02	1.591186e+01
3.360000e-01	3.182145e+02	1.632931e+01
3.480000e-01	3.182049e+02	1.675882e+01
3.600000e-01	3.181943e+02	1.720015e+01
3.720000e-01	3.181826e+02	1.765311e+01
3.840000e-01	3.181697e+02	1.811745e+01
3.960000e-01	3.181555e+02	1.859296e+01
4.080000e-01	3.181400e+02	1.907943e+01
4.200000e-01	3.181232e+02	1.957661e+01
4.320000e-01	3.181050e+02	2.008431e+01
4.440000e-01	3.180853e+02	2.060228e+01
4.560000e-01	3.180641e+02	2.113031e+01
4.680000e-01	3.180412e+02	2.166818e+01
4.800000e-01	3.180168e+02	2.221565e+01
4.920000e-01	3.179906e+02	2.277252e+01
5.040000e-01	3.179627e+02	2.333855e+01
5.160000e-01	3.179330e+02	2.391351e+01
5.280000e-01	3.179014e+02	2.449720e+01
5.400000e-01	3.178679e+02	2.508937e+01
5.520000e-01	3.178325e+02	2.568981e+01
5.640000e-01	3.177950e+02	2.629829e+01
5.760000e-01	3.177555e+02	2.691458e+01
5.880000e-01	3.177139e+02	2.753846e+01
6.000000e-01	3.176701e+02	2.816971e+01
6.120000e-01	3.176242e+02	2.880809e+01
6.240000e-01	3.175760e+02	2.945338e+01
6.360000e-01	3.175256e+02	3.010536e+01
6.480000e-01	3.174728e+02	3.076379e+01
